Postcode,HealthBoard
AB1 3HR,S08000020
AB1 3HS,S08000020
AB1 2UY,S08000020
AB1 2UZ,S08000020
AB1 2WA,S08000020
AB1 2WB,S08000020
AB1 2WD,S08000020
AB1 2XQ,S08000020
AB1 2XR,S08000020
AB1 2XS,S08000020
AB1 2XT,S08000020
AB1 2XU,S08000020
AB1 3AA,S08000020
AB1 3AB,S08000020
AB1 3AD,S08000020
AB1 3AE,S08000020
AB1 3AH,S08000020
AB1 3BH,S08000020
AB1 3BJ,S08000020
AB1 3BL,S08000020
AB1 3BN,S08000020
AB1 3BP,S08000020
AB1 3BQ,S08000020
AB1 3BR,S08000020
AB1 3BS,S08000020
AB1 3BT,S08000020
AB1 3BU,S08000020
AB1 3DT,S08000020
AB1 3DU,S08000020
AB1 3DX,S08000020
AB1 3DY,S08000020
AB1 3DZ,S08000020
AB1 3EW,S08000020
AB1 3EX,S08000020
AB1 3EY,S08000020
AB1 3HA,S08000020
AB1 3HB,S08000020
AB1 3JA,S08000020
AB1 3JB,S08000020
AB1 3JD,S08000020
AB1 3JE,S08000020
AB1 3JH,S08000020
AB1 3JR,S08000020
AB1 3JS,S08000020
AB1 3JT,S08000020
AB1 3JU,S08000020
AB1 3JW,S08000020
AB1 3DZ,S08000020
AB1 3EA,S08000020
AB1 3EB,S08000020
AB1 3ED,S08000020
AB1 3EE,S08000020
AB1 3HD,S08000020
AB1 3HE,S08000020
AB1 3HF,S08000020
AB1 3HH,S08000020
AB1 3HJ,S08000020
AB1 3JJ,S08000020
AB1 3JL,S08000020
AB1 3JN,S08000020
AB1 3JP,S08000020
AB1 3JQ,S08000020
AB1 3LL,S08000020
AB1 3LN,S08000020
AB1 3LP,S08000020
AB1 3LQ,S08000020
AB1 3LS,S08000020
AB1 3LT,S08000020
AB1 3LU,S08000020
AB1 3LX,S08000020
AB1 3LY,S08000020
AB1 3NA,S08000020
AB1 3NX,S08000020
AB1 3NY,S08000020
AB1 3PA,S08000020
AB1 3PB,S08000020
AB1 3PE,S08000020
AB1 3QE,S08000020
AB1 3QF,S08000020
AB1 3QH,S08000020
AB1 3QJ,S08000020
AB1 3QL,S08000020
AB1 3DN,S08000020
AB1 3DP,S08000020
AB1 3DQ,S08000020
AB1 3DR,S08000020
AB1 3DS,S08000020
AB1 3EQ,S08000020
AB1 3ER,S08000020
AB1 3ES,S08000020
AB1 3ET,S08000020
AB1 3EU,S08000020
AB1 3HT,S08000020
AB1 3HU,S08000020
AB1 3HW,S08000020
AB1 3HX,S08000020
AB1 3HY,S08000020
AB1 3JX,S08000020
AB1 3JY,S08000020
AB1 3JZ,S08000020
AB1 3LA,S08000020
AB1 3LB,S08000020
AB1 3LD,S08000020
AB1 3LE,S08000020
AB1 3LF,S08000020
AB1 3LG,S08000020
AB1 3LH,S08000020
AB1 3NJ,S08000020
AB1 3NL,S08000020
AB1 3NN,S08000020
AB1 3NP,S08000020
AB1 3NQ,S08000020
AB1 3PQ,S08000020
AB1 3PR,S08000020
AB1 3PS,S08000020
AB1 3PT,S08000020
AB1 3PU,S08000020
AB1 3QS,S08000020
AB1 3QT,S08000020
AB1 3QU,S08000020
AB1 3QX,S08000020
AB1 3QY,S08000020
AB1 3RH,S08000020
AB1 3RJ,S08000020
AB1 3RL,S08000020
AB1 3RN,S08000020
AB1 3RP,S08000020
AB1 3NR,S08000020
AB1 3NS,S08000020
AB1 3NT,S08000020
AB1 3NU,S08000020
AB1 3NW,S08000020
AB1 3PX,S08000020
AB1 3PY,S08000020
